Date,Value
03/11/2016,2404161
03/12/2016,2404156
03/13/2016,2404493
03/14/2016,2404796
03/15/2016,2405098
03/16/2016,2405351
03/17/2016,2405632
03/18/2016,2405628
03/19/2016,2405615
03/20/2016,2405892
03/21/2016,2406140
03/22/2016,2406404
03/23/2016,2406609
03/24/2016,2406923
03/25/2016,2406920
03/26/2016,2406916
03/27/2016,2407270
03/28/2016,2407584
03/29/2016,2407903
03/30/2016,2408208
03/31/2016,2408208
04/01/2016,2408529
04/02/2016,2408523
04/03/2016,2408849
04/04/2016,2409159
04/05/2016,2409483
04/06/2016,2409745
04/07/2016,2410060
04/08/2016,2410053
04/09/2016,2410048
04/10/2016,2410351
04/11/2016,2410635
04/12/2016,2410876
04/13/2016,2411131
04/14/2016,2411450
04/15/2016,2411446
04/16/2016,2411441
04/17/2016,2411747
04/18/2016,2412064
04/19/2016,2412369
04/20/2016,2412624
04/21/2016,2412933
04/22/2016,2412927
04/23/2016,2412919
04/24/2016,2413240
04/25/2016,2413618
04/26/2016,2413969
04/27/2016,2414275
04/28/2016,2414613
04/29/2016,2414603
04/30/2016,2414598
05/01/2016,2414705
05/02/2016,2415166
05/03/2016,2415552
05/04/2016,2415904
05/05/2016,2415893
05/06/2016,2415880
05/07/2016,2416238
05/08/2016,2416238
05/09/2016,2416540
05/10/2016,2416869
05/11/2016,2417155
05/12/2016,2417503
05/13/2016,2417497
05/14/2016,2417483
05/15/2016,2417790
05/16/2016,2418058
05/17/2016,2418367
05/18/2016,2418632
05/19/2016,2418934
05/20/2016,2418931
05/21/2016,2418961
05/22/2016,2419216
05/23/2016,2419472
05/24/2016,2419702
05/25/2016,2420042
05/26/2016,2420410
05/27/2016,2420402
05/28/2016,2420396
05/29/2016,2420716
05/30/2016,2421052
05/31/2016,2421351
06/01/2016,2421648
06/02/2016,2421984
06/03/2016,2421976
06/04/2016,2421975
06/05/2016,2422374
06/06/2016,2422734
06/07/2016,2422900
06/08/2016,2423055
