regions,indicators,nationality,sex,age-groups,unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Wilayat Izki,Total Population,Omani,Total,Total,capita,30814,31603,32302,31930,32225,32859,33515,34145,34876,35725,36296,37327,38801,40276,41922,43485,44788,46228,47604,48985,47250
Wilayat Samail,Total Population,Omani,Total,Total,capita,40704,41747,42669,40476,40850,41653,42486,43284,44211,45286,47746,49109,51045,52982,55146,57200,61235,61516,63312,65182,63572
Wilayat Bidbid,Total Population,Omani,Total,Total,capita,18272,18740,19155,18600,18772,19141,19523,19890,20316,20810,21449,22058,22929,23801,24773,25696,26639,27494,28328,29146,14892
Al Batinah,Total Population,Omani,Total,Total,capita,558782,573058,585667,564407,569724,581050,592649,603643,616296,630700,,,,,,,,,,,
Al Batinah North,Total Population,Omani,Total,Total,capita,,,,,,,,,,,386535,397563,413241,428928,446444,463080,475208,490332,504795,519660,549976
Wilayat Sohar,Total Population,Omani,Total,Total,capita,84337,86493,88397,83891,84681,86365,88089,89723,91602,93744,92590,95234,98988,102746,106941,110925,114502,118153,121634,125220,131797
Wilayat Shinas,Total Population,Omani,Total,Total,capita,44482,45618,46623,40828,41213,42032,42871,43666,44582,45624,44220,45486,47278,49071,51073,52975,54252,55983,57635,59327,66239
Wilayat Liwa,Total Population,Omani,Total,Total,capita,23027,23615,24135,23000,23217,23678,24151,24599,25115,25701,25455,26179,27213,28246,29400,30496,31594,32590,33540,34540,36381
Wilayat Saham,Total Population,Omani,Total,Total,capita,75998,77940,79654,75335,76045,77556,79105,80572,82261,84184,82158,84501,87833,91168,94892,98429,100667,103882,106937,110085,114968
Wilayat Al Khaburah,Total Population,Omani,Total,Total,capita,41286,42341,43272,41848,42242,43082,43942,44757,45695,46764,46665,47997,49889,51783,53897,55905,56846,58641,60390,62163,63636
Wilayat As Suwayq,Total Population,Omani,Total,Total,capita,85057,87230,89150,86341,87154,88887,90661,92343,94279,96482,95447,98166,102040,105914,110241,114350,117347,121083,124659,128325,136955
Al Batinah South,Total Population,Omani,Total,Total,capita,,,,,,,,,,,234415,241085,250600,260120,270748,280840,289420,298649,307447,316491,351791
Wilayat Ar Rustaq,Total Population,Omani,Total,Total,capita,64912,66570,68035,67641,68278,69636,71026,72343,73860,75586,71541,73574,76479,79385,82628,85709,88342,91158,93844,96608,94492
Wilayat Al Awabi,Total Population,Omani,Total,Total,capita,9272,9509,9717,9879,9972,10170,10372,10566,10787,11039,10979,11291,11737,12183,12681,13153,13593,14028,14439,14868,16290
Wilayat Nakhal,Total Population,Omani,Total,Total,capita,13951,14307,14622,15201,15344,15649,15962,16258,16599,16986,16759,17236,17916,18596,19357,20079,20696,21345,21978,22618,23473
Wilayat Wadi Al Maawil,Total Population,Omani,Total,Total,capita,10975,11255,11503,10444,10542,10752,10967,11170,11404,11671,11359,11681,12141,12603,13120,13609,14028,14480,14917,15346,16902
Wilayat Barka,Total Population,Omani,Total,Total,capita,57516,58985,60283,61094,61670,62896,64151,65341,66711,68270,70082,72082,74926,77770,80944,83959,86584,89346,91973,94687,123358
Wilayat Al Musanaah,Total Population,Omani,Total,Total,capita,47969,49195,50276,48905,49366,50347,51352,52305,53401,54649,53695,55221,57401,59583,62018,64331,66177,68292,70296,72364,77276
Ash Sharqiyah,Total Population,Omani,Total,Total,capita,260872,267788,273969,264064,265819,271023,276432,281616,287665,294693,,,,,,,,,,,
Ash Sharqiyah South,Total Population,Omani,Total,Total,capita,,,,,,,,,,,157281,161758,168141,174528,181659,188431,195467,201783,207703,213805,225095
Wilayat Sur,Total Population,Omani,Total,Total,capita,51148,52505,53715,49153,49422,50449,51396,52360,53485,54791,52732,54232,56372,58514,60906,63177,66115,68251,70249,72312,72778
Wilayat Al Kamil Wa Al Wafi,Total Population,Omani,Total,Total,capita,16452,16888,17278,16857,16949,17301,17626,17957,18342,18791,18701,19229,19990,20751,21600,22406,23161,23910,24620,25347,27306
Wilayat Jaalan Bani Bu Hasan,Total Population,Omani,Total,Total,capita,22800,23404,23945,23350,23478,23965,24415,24873,25408,26028,26136,26882,27942,29003,30186,31311,32352,33395,34370,35393,18082
Wilayat Jaalan Bani Bu Ali,Total Population,Omani,Total,Total,capita,41633,42737,43723,45223,45471,46415,47286,48173,49208,50410,52835,54341,56485,58629,61024,63298,65168,67269,69237,71275,80496
Wilayat Masirah,Total Population,Omani,Total,Total,capita,7339,7534,7707,6981,7019,7165,7300,7436,7596,7782,6877,7074,7352,7631,7943,8239,8671,8958,9227,9478,8893
Ash Sharqiyah North,Total Population,Omani,Total,Total,capita,,,,,,,,,,,136113,139979,145506,151037,157211,163075,167712,173113,178215,183495,191352
Wilayat Ibra,Total Population,Omani,Total,Total,capita,18423,18911,19348,19312,19418,19821,20193,20572,21014,21527,21249,21857,22718,23580,24543,25457,26015,26839,27639,28447,29775
Wilayat Al Mudaybi,Total Population,Omani,Total,Total,capita,53108,54516,55776,52260,52547,53324,54645,55670,56865,58254,58403,60057,62430,64806,67456,69974,72094,74421,76595,78859,82222
Wilayat Bidiyah,Total Population,Omani,Total,Total,capita,15139,15540,15899,15620,15706,16032,16333,16639,16996,17412,16973,17455,18144,18834,19603,20334,20795,21479,22109,22770,26557
Wilayat Al Qabil,Total Population,Omani,Total,Total,capita,12448,12778,13073,12147,12214,12467,12701,12939,13217,13540,13677,14067,14624,15176,15797,16386,16810,17367,17876,18405,18889
Wilayat Wadi Bani Khalid,Total Population,Omani,Total,Total,capita,6644,6820,6977,7485,7526,7682,7827,7973,8145,8344,8291,8527,8863,9200,9576,9933,10312,10631,10948,11279,11282
Wilayat Dama Wa At Taiyin,Total Population,Omani,Total,Total,capita,15738,16155,16528,15981,16069,16402,16710,17024,17389,17814,17520,18016,18727,19441,20236,20991,21686,22376,23048,23735,22627
Adh Dhahirah,Total Population,Omani,Total,Total,capita,161234,165500,169296,147689,149498,152811,115888,118283,120996,123588,118877,122262,127086,131914,137303,142421,146629,151308,155801,160346,162292
Wilayat Ibri,Total Population,Omani,Total,Total,capita,89426,91792,93898,81238,82233,84055,85919,87694,89706,91627,89222,91765,95385,99008,103051,106892,109898,113399,116745,120185,122445
Wilayat Yanqul,Total Population,Omani,Total,Total,capita,15180,15582,15939,14395,14571,14894,15224,15539,15895,16235,15402,15840,16465,17091,17790,18453,19112,19743,20333,20891,21004
Wilayat Dank,Total Population,Omani,Total,Total,capita,16318,16750,17134,13942,14113,14426,14745,15050,15395,15726,14253,14657,15236,15815,16462,17076,17619,18166,18723,19270,18843
Al Wusta,Total Population,Omani,Total,Total,capita,16331,16814,17256,16861,16868,17201,17547,17880,18270,18723,19043,19587,20360,21132,21994,22814,23166,23866,24560,25287,25010
Wilayat Hayma,Total Population,Omani,Total,Total,capita,1796,1849,1898,1829,1830,1833,1903,1940,1982,2031,1920,1975,2054,2130,2217,2300,2367,2454,2531,2592,3173
Wilayat Mahawt,Total Population,Omani,Total,Total,capita,8684,8941,9146,8574,8578,8897,8923,9092,9290,9521,10404,10701,11123,11546,12016,12463,12602,13017,13403,13792,12909
Wilayat Ad Duqm,Total Population,Omani,Total,Total,capita,3372,3472,3624,3430,3431,3437,3570,3637,3717,3809,3820,3929,4084,4239,4412,4577,4604,4748,4883,5037,5366
Wilayat Al Jazir,Total Population,Omani,Total,Total,capita,2479,2552,2588,3028,3029,3034,3151,3211,3281,3362,2899,2982,3099,3217,3349,3474,3543,3647,3743,3866,3562
