regions,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Wilayat Al Hamra,15878.0,16285.0,16645.0,16211.0,16361.0,16682.0,17016.0,17335.0,17707.0,18138.0,18115.0,18629.0,19366.0,20101.0,20923.0,21703.0,22421.0,23147.0,23832.0,24528.0
Wilayat Izki,30814.0,31603.0,32302.0,31930.0,32225.0,32859.0,33515.0,34145.0,34876.0,35725.0,36296.0,37327.0,38801.0,40276.0,41922.0,43485.0,44788.0,46228.0,47604.0,48985.0
Wilayat Samail,40704.0,41747.0,42669.0,40476.0,40850.0,41653.0,42486.0,43284.0,44211.0,45286.0,47746.0,49109.0,51045.0,52982.0,55146.0,57200.0,61235.0,61516.0,63312.0,65182.0
Wilayat Bidbid,18272.0,18740.0,19155.0,18600.0,18772.0,19141.0,19523.0,19890.0,20316.0,20810.0,21449.0,22058.0,22929.0,23801.0,24773.0,25696.0,26639.0,27494.0,28328.0,29146.0
Wilayat Sohar,84337.0,86493.0,88397.0,83891.0,84681.0,86365.0,88089.0,89723.0,91602.0,93744.0,92590.0,95234.0,98988.0,102746.0,106941.0,110925.0,114502.0,118153.0,121634.0,125220.0
Wilayat Shinas,44482.0,45618.0,46623.0,40828.0,41213.0,42032.0,42871.0,43666.0,44582.0,45624.0,44220.0,45486.0,47278.0,49071.0,51073.0,52975.0,54252.0,55983.0,57635.0,59327.0
Wilayat Liwa,23027.0,23615.0,24135.0,23000.0,23217.0,23678.0,24151.0,24599.0,25115.0,25701.0,25455.0,26179.0,27213.0,28246.0,29400.0,30496.0,31594.0,32590.0,33540.0,34540.0
Wilayat Saham,75998.0,77940.0,79654.0,75335.0,76045.0,77556.0,79105.0,80572.0,82261.0,84184.0,82158.0,84501.0,87833.0,91168.0,94892.0,98429.0,100667.0,103882.0,106937.0,110085.0
Wilayat Al Khaburah,41286.0,42341.0,43272.0,41848.0,42242.0,43082.0,43942.0,44757.0,45695.0,46764.0,46665.0,47997.0,49889.0,51783.0,53897.0,55905.0,56846.0,58641.0,60390.0,62163.0
Wilayat As Suwayq,85057.0,87230.0,89150.0,86341.0,87154.0,88887.0,90661.0,92343.0,94279.0,96482.0,95447.0,98166.0,102040.0,105914.0,110241.0,114350.0,117347.0,121083.0,124659.0,128325.0
Wilayat Ar Rustaq,64912.0,66570.0,68035.0,67641.0,68278.0,69636.0,71026.0,72343.0,73860.0,75586.0,71541.0,73574.0,76479.0,79385.0,82628.0,85709.0,88342.0,91158.0,93844.0,96608.0
Wilayat Al Awabi,9272.0,9509.0,9717.0,9879.0,9972.0,10170.0,10372.0,10566.0,10787.0,11039.0,10979.0,11291.0,11737.0,12183.0,12681.0,13153.0,13593.0,14028.0,14439.0,14868.0
Wilayat Nakhal,13951.0,14307.0,14622.0,15201.0,15344.0,15649.0,15962.0,16258.0,16599.0,16986.0,16759.0,17236.0,17916.0,18596.0,19357.0,20079.0,20696.0,21345.0,21978.0,22618.0
Wilayat Wadi Al Maawil,10975.0,11255.0,11503.0,10444.0,10542.0,10752.0,10967.0,11170.0,11404.0,11671.0,11359.0,11681.0,12141.0,12603.0,13120.0,13609.0,14028.0,14480.0,14917.0,15346.0
Wilayat Barka,57516.0,58985.0,60283.0,61094.0,61670.0,62896.0,64151.0,65341.0,66711.0,68270.0,70082.0,72082.0,74926.0,77770.0,80944.0,83959.0,86584.0,89346.0,91973.0,94687.0
Wilayat Al Musanaah,47969.0,49195.0,50276.0,48905.0,49366.0,50347.0,51352.0,52305.0,53401.0,54649.0,53695.0,55221.0,57401.0,59583.0,62018.0,64331.0,66177.0,68292.0,70296.0,72364.0
Wilayat Sur,51148.0,52505.0,53715.0,49153.0,49422.0,50449.0,51396.0,52360.0,53485.0,54791.0,52732.0,54232.0,56372.0,58514.0,60906.0,63177.0,66115.0,68251.0,70249.0,72312.0
Wilayat Al Kamil Wa Al Wafi,16452.0,16888.0,17278.0,16857.0,16949.0,17301.0,17626.0,17957.0,18342.0,18791.0,18701.0,19229.0,19990.0,20751.0,21600.0,22406.0,23161.0,23910.0,24620.0,25347.0
Wilayat Jaalan Bani Bu Hasan,22800.0,23404.0,23945.0,23350.0,23478.0,23965.0,24415.0,24873.0,25408.0,26028.0,26136.0,26882.0,27942.0,29003.0,30186.0,31311.0,32352.0,33395.0,34370.0,35393.0
Wilayat Jaalan Bani Bu Ali,41633.0,42737.0,43723.0,45223.0,45471.0,46415.0,47286.0,48173.0,49208.0,50410.0,52835.0,54341.0,56485.0,58629.0,61024.0,63298.0,65168.0,67269.0,69237.0,71275.0
Wilayat Masirah,7339.0,7534.0,7707.0,6981.0,7019.0,7165.0,7300.0,7436.0,7596.0,7782.0,6877.0,7074.0,7352.0,7631.0,7943.0,8239.0,8671.0,8958.0,9227.0,9478.0
Wilayat Ibra,18423.0,18911.0,19348.0,19312.0,19418.0,19821.0,20193.0,20572.0,21014.0,21527.0,21249.0,21857.0,22718.0,23580.0,24543.0,25457.0,26015.0,26839.0,27639.0,28447.0
Wilayat Al Mudaybi,53108.0,54516.0,55776.0,52260.0,52547.0,53324.0,54645.0,55670.0,56865.0,58254.0,58403.0,60057.0,62430.0,64806.0,67456.0,69974.0,72094.0,74421.0,76595.0,78859.0
Wilayat Bidiyah,15139.0,15540.0,15899.0,15620.0,15706.0,16032.0,16333.0,16639.0,16996.0,17412.0,16973.0,17455.0,18144.0,18834.0,19603.0,20334.0,20795.0,21479.0,22109.0,22770.0
Wilayat Al Qabil,12448.0,12778.0,13073.0,12147.0,12214.0,12467.0,12701.0,12939.0,13217.0,13540.0,13677.0,14067.0,14624.0,15176.0,15797.0,16386.0,16810.0,17367.0,17876.0,18405.0
Wilayat Wadi Bani Khalid,6644.0,6820.0,6977.0,7485.0,7526.0,7682.0,7827.0,7973.0,8145.0,8344.0,8291.0,8527.0,8863.0,9200.0,9576.0,9933.0,10312.0,10631.0,10948.0,11279.0
Wilayat Dama Wa At Taiyin,15738.0,16155.0,16528.0,15981.0,16069.0,16402.0,16710.0,17024.0,17389.0,17814.0,17520.0,18016.0,18727.0,19441.0,20236.0,20991.0,21686.0,22376.0,23048.0,23735.0
Adh Dhahirah,161234.0,165500.0,169296.0,147689.0,149498.0,152811.0,115888.0,118283.0,120996.0,123588.0,118877.0,122262.0,127086.0,131914.0,137303.0,142421.0,146629.0,151308.0,155801.0,160346.0
Wilayat Ibri,89426.0,91792.0,93898.0,81238.0,82233.0,84055.0,85919.0,87694.0,89706.0,91627.0,89222.0,91765.0,95385.0,99008.0,103051.0,106892.0,109898.0,113399.0,116745.0,120185.0
Wilayat Yanqul,15180.0,15582.0,15939.0,14395.0,14571.0,14894.0,15224.0,15539.0,15895.0,16235.0,15402.0,15840.0,16465.0,17091.0,17790.0,18453.0,19112.0,19743.0,20333.0,20891.0
Wilayat Dank,16318.0,16750.0,17134.0,13942.0,14113.0,14426.0,14745.0,15050.0,15395.0,15726.0,14253.0,14657.0,15236.0,15815.0,16462.0,17076.0,17619.0,18166.0,18723.0,19270.0
Al Wusta,16331.0,16814.0,17256.0,16861.0,16868.0,17201.0,17547.0,17880.0,18270.0,18723.0,19043.0,19587.0,20360.0,21132.0,21994.0,22814.0,23166.0,23866.0,24560.0,25287.0
Wilayat Hayma,1796.0,1849.0,1898.0,1829.0,1830.0,1833.0,1903.0,1940.0,1982.0,2031.0,1920.0,1975.0,2054.0,2130.0,2217.0,2300.0,2367.0,2454.0,2531.0,2592.0
Wilayat Mahawt,8684.0,8941.0,9146.0,8574.0,8578.0,8897.0,8923.0,9092.0,9290.0,9521.0,10404.0,10701.0,11123.0,11546.0,12016.0,12463.0,12602.0,13017.0,13403.0,13792.0
Wilayat Ad Duqm,3372.0,3472.0,3624.0,3430.0,3431.0,3437.0,3570.0,3637.0,3717.0,3809.0,3820.0,3929.0,4084.0,4239.0,4412.0,4577.0,4604.0,4748.0,4883.0,5037.0
Wilayat Al Jazir,2479.0,2552.0,2588.0,3028.0,3029.0,3034.0,3151.0,3211.0,3281.0,3362.0,2899.0,2982.0,3099.0,3217.0,3349.0,3474.0,3543.0,3647.0,3743.0,3866.0
